1,LinkedIn <groups-noreply@linkedin.com>,94,0.0,1,0,,1,<1895024230.27233572.1747141114017@lva1-app101199.prod.linkedin.com>
2,Free Online Courses via LinkedIn <newsletters-noreply@linkedin.com>,58,0.0,1,0,,1,<1347657639.39983.1747174034885@lor1-app75632.prod.linkedin.com>
3,Canva <marketing@engage.canva.com>,42,0.0,1,0,,1,<qTiL1n5wR56xmqOQMuGRpw@geopod-ismtpd-35>
4,apna <jobalerts@info.apnajobs.com>,5,0.0,1,0,,1,<xAnOLZDnRc2J2QcJ2b5Ftw@geopod-ismtpd-12>
5,Google <no-reply@accounts.google.com>,14,0.0,1,0,,1,<1glWMyeFk7sECUDzJzBE8w@notifications.google.com>
6,AICTE Career Portal - apna <jobalerts@apna-jobs.com>,8,0.0,1,0,,1,<wb5T7lj0QUis2LYlVSfefw@geopod-ismtpd-11>
7,LinkedIn <jobs-listings@linkedin.com>,41,0.0,1,0,,1,<215885772.2146567.1747231876779@lva1-app96403.prod.linkedin.com>
8,Google <no-reply@accounts.google.com>,14,0.0,1,0,,1,<kPPfScgymYEHB-HbDu-35w@notifications.google.com>
9,LinkedIn <updates-noreply@linkedin.com>,58,0.0,1,0,,1,<372101459.1187294.1747232066153@lva1-app98621.prod.linkedin.com>
10,Mail Delivery Subsystem <mailer-daemon@googlemail.com>,38,1450.0,1,0,,1,<67ded0ef.050a0220.369a75.23f9.GMR@mx.google.com>
11,Andriy Burkov via LinkedIn <newsletters-noreply@linkedin.com>,28,0.0,1,0,,1,<590679989.3300728.1747253228867@lor1-app140801.prod.linkedin.com>
12,Free Online Courses via LinkedIn <newsletters-noreply@linkedin.com>,54,0.0,1,0,,1,<2027661332.2813819.1747260392299@lor1-app94593.prod.linkedin.com>
13,"""Adobe for Photographers"" <mail@mail.adobe.com>",25,0.0,1,0,,1,<NM6F6A711950A0EAFABadobein_mid_prod8@mail.adobe.com>
14,Mohamed Suhaill <suhaillm81@gmail.com>,0,0.0,1,0,,1,<CAG-3uVnnPxeexMgKxuGYoKa6qrdmfB1oYXDT7HGEtoVbK8Qs3Q@mail.gmail.com>
15,AICTE Career Portal - apna <jobalerts@apna-jobs.com>,8,0.0,1,0,,1,<7DzRNwuaRUyATD7hLP-YHQ@geopod-ismtpd-9>
16,Thiru Siva Mukilan <sivamukilanthiru@gmail.com>,12,0.0,1,0,,1,<CAHT9RNZ0JkmOTP99Hpzy13bNX4os4tk0=G_juTs3MXi-+Aiy0A@mail.gmail.com>
17,Free Online Courses via LinkedIn <newsletters-noreply@linkedin.com>,56,0.0,1,0,,1,<844498701.2172349.1747347183302@lor1-app90739.prod.linkedin.com>
18,Bill Gates via LinkedIn <newsletters-noreply@linkedin.com>,54,0.0,1,0,,1,<1006344337.6611749.1747354008754@lor1-app91852.prod.linkedin.com>
19,AICTE Career Portal - apna <jobalerts@apna-jobs.com>,4,0.0,1,0,,1,<sUOvtByrRJm4ct8dNGnjnA@geopod-ismtpd-3>
20,NPTEL <onlinecourses@nptel.iitm.ac.in>,60,0.0,1,0,,1,<CAFi4wK_kvRp08bxKmaADXg7SeC_-dVE0Zy+2VFCJ9UEZ4XS8nw@mail.gmail.com>
21,Naukri Alerts <eventnc@naukri.com>,48,29242.0,1,0,,1,<AD.67.05076.B1747286@n5plimla01.ieil.net>
22,LinkedIn <updates-noreply@linkedin.com>,65,0.0,1,0,,1,<1279311500.10784699.1747405073251@lva1-app54166.prod.linkedin.com>
23,Free Online Courses via LinkedIn <newsletters-noreply@linkedin.com>,43,0.0,1,0,,1,<2102047776.9304705.1747426010666@lor1-app75597.prod.linkedin.com>
24,LinkedIn <messages-noreply@linkedin.com>,22,0.0,1,0,,1,<223895577.11402340.1747498070331@lor1-app128735.prod.linkedin.com>
25,Free Online Courses via LinkedIn <newsletters-noreply@linkedin.com>,54,0.0,1,0,,1,<210565531.1000723.1747512392496@lor1-app96078.prod.linkedin.com>
26,=?UTF-8?B?cmVkQnVz?= <greetings@travel.e-redbus.in>,55,0.0,1,0,,1,<399995633342183381@travel.e-redbus.in>
27,NPTEL EXAM <nptelexam@nptel.iitm.ac.in>,48,0.0,1,0,,1,<EYMe3UtERU-pLU1XwRNKdQ@geopod-ismtpd-3>
28,onlinecourses@nptel.iitm.ac.in,83,0.0,1,0,,1,<mkl-6_pISwOIUiJjXViSKw@geopod-ismtpd-4>
29,onlinecourses@nptel.iitm.ac.in,86,0.0,1,0,,1,<YtR9EZnQTg6gDPz0asyxqQ@geopod-ismtpd-2>
30,Mail Delivery Subsystem <mailer-daemon@googlemail.com>,38,0.0,1,0,,1,<6829f1c7.810a0220.3787f.4827.GMR@mx.google.com>
31,"""Coursera"" <Coursera@m.learn.coursera.org>",31,0.0,1,0,,1,<C4.9E.14503.908F9286@i-06c1808c9ac6a33be.mta1vrest.sd.prd.sparkpost>
32,Free Online Courses via LinkedIn <newsletters-noreply@linkedin.com>,46,0.0,1,0,,1,<1673364309.9191205.1747605990846@lor1-app75316.prod.linkedin.com>
33,Canva <marketing@engage.canva.com>,56,0.0,1,0,,1,<Y2C-0eYNRzemT2yitNciPA@geopod-ismtpd-0>
34,=?UTF-8?B?cmVkQnVz?= <greetings@travel.e-redbus.in>,52,0.0,1,0,,1,<816387544842183381@travel.e-redbus.in>
35,NPTEL <onlinecourses@nptel.iitm.ac.in>,42,0.0,1,0,,1,<CAFi4wK_3-Fw7U-2BiPZrMyBgXnVZhMb+8rD2YzuTNAOjEkDfvA@mail.gmail.com>
36,LinkedIn <messages-noreply@linkedin.com>,25,0.0,1,0,,1,<970487627.12931683.1747656403112@lor1-app90365.prod.linkedin.com>
37,AICTE Career Portal - apna <jobalerts@apna-jobs.com>,8,0.0,1,0,,1,<lJqZrjzdTXam2pPVhokRbQ@geopod-ismtpd-12>
